Gene.name	GO.term.accession
guca1b	HPO:HP:0000407~Sensorineural hearing impairment
pofut2	GO:0046922
fancl	
LOC100711482	PSYGENET:C0011581~Depressive disorder
dhrs7b	REACTOME_PATHWAY:R-HSA-1430728~Metabolism
LOC100709019	GO:0016020
thoc6	HPO:HP:0000582~Upslanted palpebral fissure
LOC100704166	HPO:HP:0001260~Dysarthria
camkv	GO:0005516
LOC100703337	
nf2	GO:0042981
LOC102082062	
hes1	GO:0001227
itprid2	
mapk10	UP_TISSUE:Brain
LOC102082412	MGD:MP:0003893~increased hepatocyte proliferation
LOC100703974	CTD:C0025286~Meningioma
ak2	GO:0016776
LOC100701261	GO:0051371
brox	MGD:MP:XXX~No phenotype
fan1	GO:0004528
rplp1	GO:0002181
lg5h6orf89	CTD:CXXX~No diseases associated
LOC100697802	UP_TISSUE:Skin
cftr	GO:0055085
cpeb1	GO:0006417
LOC100709652	DISGENET:C0376358~Malignant neoplasm of prostate
manbal	GO:0016020
wasf1	GO:0051018
cnep1r1	CGI:CXXX~No diseases associated
LOC102082062	
tmem167a	MGD:MP:0005419~decreased circulating serum albumin level
rpl21	GO:0005737
tmem38b	GENOMICS_ENGLAND:C0029434~Osteogenesis Imperfecta
LOC100706088	UP_TISSUE:Brain
chmp2b	GO:0031902
nsdhl	GO:0016616
dock7	GO:0030424
qki	GO:0010717
LOC100691312	GO:0005615
pex14	UP_TISSUE:Placenta
sirt1	GO:0010906
LOC100701445	GO:0070534
mmel1	GO:0008237
LOC100692379	GO:0007254
LOC100689834	GO:1904237
ak9	GO:0004550
LOC100701166	GO:0008234
tbx2	GO:0005634
LOC100696249	GO:0006281
mtmr2	GO:2000645
igf2r	MGD:MP:0009395~increased nucleated erythrocyte cell number
mmel1	GO:0004175
mgll	CTD:C0001787~Osteoporosis, Age-Related
LOC100705499	GO:0016020
LOC102076701	GENOMICS_ENGLAND:CXXX~No diseases associated
plxnd1	MGD:MP:0001915~intracranial hemorrhage
LOC100692669	GO:0015250
LOC100702838	DISGENET:C0036341~Schizophrenia
hmcn1	GO:0062023
LOC100698634	GO:0000976
insig2	GAD_DISEASE:esophageal cancer 
idua	MGD:MP:0000346~broad head
LOC100695177	CTD:C0019193~Hepatitis, Toxic
LOC100695343	CTD:CXXX~No diseases associated
LOC100704783	MGD:MP:0011098~embryonic lethality during organogenesis, complete penetrance
kdsr	GO:0030148
LOC100691636	GO:0016746
LOC100706888	GO:0016787
nek9	GO:0019901
clcn3	MGD:MP:0000274~enlarged heart
LOC100711032	MGD:MP:0001473~reduced long term potentiation
ftsj1	MGD:MP:0001399~hyperactivity
akr1a1	GO:0016324
myo15a	GO:0005516
cacna1s	GO:0051209
LOC100711508	GO:0016740
smad1	GO:0060395
cth	GO:0005829
hells	GO:0051301
gck	HPO:HP:0002715~Abnormality of the immune system
zmpste24	GO:0016020
LOC100694159	GO:0019318
prlr	GO:0004925
psma4	GO:0019773
mpl	GO:0071456
ctns	GO:0015811
LOC100699682	GAD_DISEASE:AlzheimerQs disease   
ldlrad3	GO:0005886
hagh	GO:0004416
pacrg	GO:0005879
col4a1	
eri1	GO:0004527
igf1	MGD:MP:0002081~perinatal lethality
nr3c2	GO:0006355
pak1	GO:0005884
ush1c	GO:0042491
lhx9	CRB:CRB:0000027~Negative hit with Survival PSAP KO CRISPRa in Glutamatergic Neuron
bcl2l1	GO:0097192
LOC102082062	GO:0051603
bace1	UP_TISSUE:Thalamus
gfap	
hikeshi	CTD:C4225170~LEUKODYSTROPHY, HYPOMYELINATING, 13
LOC100704669	HPO:HP:0001263~Global developmental delay
LOC100705220	GO:0016020
crkl	GO:0035591
LOC100710162	UP_TISSUE:Muscle
LOC100712516	GO:0016323
LOC100698626	GO:0003707
adra1d	CTD:C1135196~Heart Failure, Diastolic
arih2	MGD:MP:0001853~heart inflammation
LOC100710008	REACTOME_PATHWAY:R-HSA-170834~Signaling by TGF-beta Receptor Complex
LOC102082062	
zfyve28	MGD:MP:0000063~decreased bone mineral density
degs1	HPO:HP:0001508~Failure to thrive
spc25	GO:0005829
thoc2	GO:0008380
slc35a2	GO:0015165
LOC100699838	GO:0005096
atg7	GO:0031401
lg12h9orf84	GO:0016887
LOC100699839	GO:0016757
LOC100707887	GO:0005741
LOC100705749	KEGG_PATHWAY:hsa04217
LOC100690332	REACTOME_PATHWAY:R-HSA-1227986~Signaling by ERBB2
commd8	GENOMICS_ENGLAND:CXXX~No diseases associated
ncdn	HPO:HPO:XXX~No HPO phenotype
cdv3	GO:0005886
mmp2	GO:0005576
LOC100712562	REACTOME_PATHWAY:R-HSA-2029480~Fcgamma receptor (FCGR) dependent phagocytosis
LOC100701336	GO:0055085
arl6ip6	
runx1t1	GO:0045892
LOC109194170	GO:0008083
gria2	DISGENET:C0494475~Tonic - clonic seizures
ilf3	
LOC100694858	HPO:HP:0005781~Contractures of the large joints
LOC100696524	CTD:C1274933~Drug-Induced Stevens Johnson Syndrome
drd2	GO:0008285
mthfd1l	GO:0001843
cpeb2	MGD:MP:0011086~postnatal lethality, incomplete penetrance
sirt2	GO:0008270
myo5b	GO:0003091
rasgef1c	PSYGENET:CXXX~No diseases associated
LOC100697245	HPO:HP:0001903~Anemia
LOC100697225	REACTOME_PATHWAY:R-HSA-168256~Immune System
nin	HPO:HP:0000007~Autosomal recessive inheritance
dnttip1	CRB:CRB:0000008~Positive hit with Peroxidized Lipids (Liperfluo Intensity) in Glutamatergic Neuron
kdm1a	GO:0006338
rspo3	CTD:C0678222~Breast Carcinoma
pde2a	GENOMICS_ENGLAND:CXXX~No diseases associated
eif3d	REACTOME_PATHWAY:R-HSA-72689~Formation of a pool of free 40S subunits
sirt5	GO:0070403
LOC100695446	GO:0009247
grk1	DISGENET:C3150678~OGUCHI DISEASE 2
etv6	CTD:C1838656~Macrocytosis, Familial
atp13a1	GO:0140358
LOC102081429	MGD:MP:0004897~otosclerosis
trpc4ap	UP_TISSUE:Muscle
prph	HPO:HP:0002094~Dyspnea
ddr1	GO:0004714
pcnx3	UP_TISSUE:Erythroleukemia
agt	GAD_DISEASE:pregnancy loss, recurrent
ctnnb1	GO:1990226
kif1bp	UP_TISSUE:Uterus
brcc3	GO:0004843
ddc	DISGENET:C0013421~Dystonia
xpa	MGD:MP:0002797~increased thigmotaxis
prkab1	GAD_DISEASE:Type 2 Diabetes| edema | rosiglitazone
phip	GO:0005515
kcnk13	GO:0071805
mtmr2	GO:0046856
agtr1	GAD_DISEASE:deep venous thrombosis
LOC100703872	GO:0006955
srsf7	GO:0008270
LOC100701321	REACTOME_PATHWAY:R-HSA-428930~Thromboxane signalling through TP receptor
LOC100705237	CTD:C0024623~Malignant neoplasm of stomach
LOC100706281	GO:0009953
cacna1s	MGD:MP:0003084~abnormal skeletal muscle fiber morphology
glis2	MGD:MP:0002828~abnormal renal glomerular capsule morphology
rsph1	HPO:HP:0005268~Spontaneous abortion
dync1h1	GO:0008569
spata1	MGD:MP:XXX~No phenotype
foxp1	GO:0032745
vipr2	GO:0007166
cct3	GO:0000166
LOC100704495	GO:0005938
LOC100707939	MGD:MP:0011100~preweaning lethality, complete penetrance
med19	UP_TISSUE:Cervix carcinoma
LOC100696005	GO:0005829
LOC100699231	CTD:C0025193~Melancholia
LOC100709268	GO:0012505
dusp8	GO:0017017
LOC100704787	MGD:MP:0011089~perinatal lethality, complete penetrance
cav1	GO:0001935
fut8	GO:0036071
haao	UNIPROT:CXXX~No diseases associated
gnas	GO:0120162
anxa2	GO:0019834
wdr91	GO:0042176
sgk3	MGD:MP:0002074~abnormal hair texture
runx3	GAD_DISEASE:Celiac disease
memo1	MGD:MP:0002891~increased insulin sensitivity
LOC100700586	GO:0005886
LOC100711153	UP_TISSUE:Trachea
terf1	GO:0042802
grsf1	CRB:CRB:0000005~Positive hit with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron
pnpla6	GO:0005789
cobl	GO:1900006
acot7	GO:0016290
stat3	DISGENET:C0751848~Thrombotic Infarction, Middle Cerebral Artery
slitrk1	GO:0051965
LOC100704529	GO:0015185
LOC100711713	GO:0072710
LOC100698894	GO:0046486
tsen34	GO:0016829
ak1	GO:0015949
stam2	
fdft1	GO:0008152
cacnb2	GO:0034702
trpa1	GO:0005515
armc1	GENOMICS_ENGLAND:CXXX~No diseases associated
LOC100707201	DISGENET:C0858252~Breast adenocarcinoma
vipas39	GO:0043231
satb2	HPO:HP:0000717~Autism
ddx11	REACTOME_PATHWAY:R-HSA-381119~Unfolded Protein Response (UPR)
dhx38	ORPHANET:C0035334~Retinitis Pigmentosa
alg1	GO:0000030
ehhadh	DISGENET:C4551503~FANCONI RENOTUBULAR SYNDROME 1
aptx	GO:0005654
rps11	GO:0005829
LOC100692262	MGD:MP:0011100~preweaning lethality, complete penetrance
epo	MGD:MP:0005039~hypoxia
LOC100703806	HPO:HP:0031936~Delayed ability to walk
adamts13	GO:0046872
grm5	GAD_DISEASE:Heart Rate
LOC100705920	REACTOME_PATHWAY:R-HSA-9018676~Biosynthesis of D-series resolvins
LOC100693164	DISGENET:C0525045~Mood Disorders
LOC100700740	GO:0005886
taf6	GO:0006282
phb	GO:0005886
LOC100695450	GO:0008016
ctnnb1	GO:0048568
khsrp	GO:0005654
LOC100693897	GO:0008237
sirt2	GO:0042995
ly6d	CRB:CRB:XXX~No CRB phenotype
LOC100696811	UP_TISSUE:Erythroleukemia
gtpbp3	HPO:HP:0002151~Increased serum lactate
ddb1	REACTOME_PATHWAY:R-HSA-6781827~Transcription-Coupled Nucleotide Excision Repair (TC-NER)
stra6	GO:0043010
tor2a	GO:0005524
evc2	HPO:HP:0000691~Microdontia
anxa6	GO:0016020
prom1	GO:0016324
cobl	GO:0003779
akt1	GO:0005737
kdm1a	GO:1990841
aptx	GO:0030983
LOC100691904	GO:0000122
hsd17b4	MGD:MP:0001406~abnormal gait
c6	REACTOME_PATHWAY:R-HSA-168249~Innate Immune System
LOC100698882	GO:0005654
tom1l2	GO:0016020
nox4	GO:0050664
shmt1	GO:0048027
hesx1	GO:0071276
atrx	HPO:HP:0002020~Gastroesophageal reflux
tox4	GO:0000781
LOC102082062	
polr2i	REACTOME_PATHWAY:R-HSA-6782210~Gap-filling DNA repair synthesis and ligation in TC-NER
LOC100709869	GO:0000981
LOC100694986	GO:0048662
LOC100695498	GO:0007214
LOC100691504	UP_TISSUE:Colon
naa35	GO:0005737
LOC100690299	GO:0008542
cep57l1	GO:0043015
znf385b	GO:0005634
tsta3	GO:0007159
wdr75	
rfng	MGD:MP:0000154~rib fusion
crh	DISGENET:C0003123~Anorexia
ubr2	GO:0005694
ccnk	REACTOME_PATHWAY:R-HSA-1643685~Disease
rhobtb3	GO:0005525
LOC100534523	GO:0043123
lrp5	HPO:HP:0000648~Optic atrophy
ctnnd1	GO:0005515
adgrg2	GO:0005886
LOC100704067	GO:0043087
LOC100708185	GO:0016020
LOC106098755	DISGENET:C2931779~Congenital defect of skull and scalp
usp37	GO:0004843
phf10	CGI:CXXX~No diseases associated
drd3	GAD_DISEASE:depression
LOC102082062	
zic5	DISGENET:C0152234~Iniencephaly
bag6	GO:0030324
mme	GO:0005886
ddx31	UP_TISSUE:Placenta
LOC100695225	GO:0042802
kank2	GO:0005737
slc1a2	GO:0005886
ddx6	GO:0016787
pgk1	KEGG_PATHWAY:hsa04066
LOC100699679	GO:1904815
vkorc1l1	GO:0042373
dmpk	GO:0005783
itgb6	GO:0140677
adgrb2	
mlst8	CLINGEN:CXXX~No diseases associated
nfe2l2	GO:0070301
usp39	GO:0006397
itgb1	GO:0005178
arfgap1	REACTOME_PATHWAY:R-HSA-6811434~COPI-dependent Golgi-to-ER retrograde traffic
LOC100695849	
lg23h19orf70	GO:0042407
LOC100709153	HPO:HP:0000316~Hypertelorism
chmp2b	GO:0005765
hbs1l	GAD_DISEASE:Hematocrit
ctnnb1	GO:0045944
polr2a	REACTOME_PATHWAY:R-HSA-72203~Processing of Capped Intron-Containing Pre-mRNA
LOC100705499	GO:0042572
LOC100697588	GO:0042734
cacna1c	GO:0055085
lonp1	HPO:HP:0006482~Abnormality of dental morphology
ntrk3	GO:0010976
rps9	REACTOME_PATHWAY:R-HSA-2408522~Selenoamino acid metabolism
LOC100696185	HPO:HP:0001406~Intrahepatic cholestasis
ids	UP_TISSUE:Liver
gnaz	GO:0005886
LOC100699863	CGI:CXXX~No diseases associated
stard9	
LOC102079195	GO:0005856
atp2b2	GO:0032591
stambpl1	GAD_DISEASE:Heart Failure
celf4	GO:0042835
LOC100706142	GO:0006637
krit1	GO:0045454
hagh	GO:0019243
cbx8	UP_TISSUE:Leukemic T-cell
id2	REACTOME_PATHWAY:R-HSA-9006934~Signaling by Receptor Tyrosine Kinases
LOC100694131	UNIPROT:CXXX~No diseases associated
LOC100693777	GO:0071144
bcl2l1	DISGENET:C0011860~Diabetes Mellitus, Non-Insulin-Dependent
tmem70	MGD:MP:0002884~abnormal pharyngeal arch morphology
LOC100707476	MGD:MP:0004448~abnormal presphenoid bone morphology
LOC100709086	UP_TISSUE:Uterus
LOC100710620	GO:0048471
prkcb	GO:0042953
LOC102082062	
LOC100705784	GO:0098641
mtmr14	HPO:HP:0001048~Cavernous hemangioma
LOC100699342	HPO:HP:0011968~Feeding difficulties
plrg1	
LOC100711659	GO:0005829
mut	GO:0004494
LOC100704305	GO:0046326
rpa2	REACTOME_PATHWAY:R-HSA-5685938~HDR through Single Strand Annealing (SSA)
actb	GO:0030424
LOC100695498	GO:0005576
map2k5	KEGG_PATHWAY:hsa04921
arhgef11	REACTOME_PATHWAY:R-HSA-162582~Signal Transduction
bicra	GO:0016514
cited1	GO:0070555
npas1	GO:0006357
ski	DISGENET:C0344479~Spinal Cord Myelodysplasia
pdgfra	GAD_DISEASE:Leukemia, Myeloid
crtam	GO:0032729
ctsh	GAD_DISEASE:chronic obstructive pulmonary disease
mtpn	GO:0005634
pds5a	GO:0007064
adra1b	GO:0150099
itga4	GO:0034446
evx2	MGD:MP:0000554~abnormal carpal bone morphology
kank2	GO:0008285
LOC100692495	GO:0006357
LOC100707781	DISGENET:C0006142~Malignant neoplasm of breast
LOC100707262	GO:0007634
LOC100709989	KEGG_PATHWAY:hsa03083
fdps	GO:0045337
gata6	MGD:MP:0012113~decreased inner cell mass proliferation
larp7	
LOC100708172	GO:0030099
clstn2	CGI:CXXX~No diseases associated
LOC100700935	CGI:CXXX~No diseases associated
alad	DISGENET:C0751110~Single Seizure
arhgef7	MGD:MP:0002836~abnormal chorion morphology
pnpo	GO:0042816
LOC100710770	MGD:MP:0000168~abnormal bone marrow development
sod2	DISGENET:C0751495~Seizures, Focal
LOC100706466	HPO:HPO:XXX~No HPO phenotype
LOC100696267	GO:0005737
LOC100698144	GO:0005739
tmem64	MGD:MP:0009347~increased trabecular bone thickness
LOC100690212	
nedd4l	GO:0045732
LOC100709203	MGD:MP:0004985~decreased osteoclast cell number
tradd	KEGG_PATHWAY:hsa05169
ppfibp1	DISGENET:C0085269~Plasma Cell Granuloma, Pulmonary
galnt9	GO:0004653
ptger3	GO:0031622
LOC102081604	GO:0033690
pcid2	GO:0006368
hapln4	CTD:C0006142~Malignant neoplasm of breast
creb3l2	GO:0005783
LOC100704610	GO:0005515
abcc8	GENOMICS_ENGLAND:C1833104~DIABETES MELLITUS, PERMANENT NEONATAL
LOC106098755	GO:0003677
daxx	GO:0071276
LOC100704683	CTD:C0266487~Etat Marbre
actb	GO:0035060
alox5	GO:1903671
mtmr2	GO:0046856
sp1	REACTOME_PATHWAY:R-HSA-73857~RNA Polymerase II Transcription
LOC100707336	GO:0055007
stt3a	GO:0005789
LOC100702918	GO:0004488
LOC100700369	GO:0005575
LOC100703915	UNIPROT:CXXX~No diseases associated
atad1	GO:0005741
gria2	GO:0005886
kcnj11	GO:0001669
rabep2	
rbm8a	REACTOME_PATHWAY:R-HSA-72203~Processing of Capped Intron-Containing Pre-mRNA
LOC100696143	GO:0031083
LOC100702174	CTD:CXXX~No diseases associated
wnt3a	GO:0061184
LOC100704945	GO:0016829
ace	GAD_DISEASE:Schizophrenia
cnot1	GO:0017148
ptprr	GO:0001701
hspb6	GENOMICS_ENGLAND:CXXX~No diseases associated
LOC102077703	GO:0005654
LOC100703894	GO:0005634
lg22h1orf216	UP_TISSUE:Brain
LOC100701459	GO:0005524
caprin1	GO:0000932
LOC102082062	
fgf10	GO:0090263
gbx2	MGD:MP:0001262~decreased body weight
LOC100703553	MGD:MP:0000313~abnormal cell death
pepd	GO:0006508
blm	MGD:MP:0002021~increased incidence of induced tumors
pbk	HPO:HPO:XXX~No HPO phenotype
rab5c	GO:0003924
fmr1	GO:0007215
agfg1	GO:0005634
pold3	MGD:MP:0010948~abnormal double-strand DNA break repair
arhgef4	REACTOME_PATHWAY:R-HSA-194315~Signaling by Rho GTPases
LOC102082062	
LOC100706100	GAD_DISEASE:Sarcoidosis
LOC100698688	GO:0010629
lmna	HPO:HP:0001324~Muscle weakness
pik3r1	GO:0005943
sirt2	GO:0043161
cwf19l1	HPO:HP:0002342~Intellectual disability, moderate
edaradd	UP_TISSUE:Mammary gland
LOC100695758	GO:0043236
LOC100698350	GO:0005515
paxip1	UP_TISSUE:Rectum tumor
zdhhc7	MGD:MP:0000807~abnormal hippocampus morphology
sec31a	GO:0015031
dpagt1	GO:0006487
emc10	
alkbh4	GO:0016491
LOC100693400	GO:0032332
ncaph2	GO:0000796
kmo	MGD:MP:0001764~abnormal homeostasis
LOC100697782	GAD_DISEASE:Tobacco Use Disorder
pdhb	GO:0004739
mre11	GO:0030145
LOC100703774	ORPHANET:C0002312~alpha-Thalassemia
vps52	GO:0005829
bglap	REACTOME_PATHWAY:R-HSA-8878166~Transcriptional regulation by RUNX2
LOC100709692	GO:0097355
LOC100710680	GO:0000978
nalcn	HPO:HP:0000365~Hearing impairment
ctnnb1	CGI:C0025202~melanoma
col8a2	HPO:HP:0000483~Astigmatism
igf1	GO:0070382
LOC100696490	MGD:MP:0011003~reduced AMPA-mediated synaptic currents
LOC100706088	GO:0050853
akt1	GO:0032869
itgb1bp1	UP_TISSUE:Brain
ntf3	GAD_DISEASE:attention deficit hyperactivity disorder
ica1	GO:0005737
LOC102082062	
aif1l	GO:0097178
naca	GO:0000122
spr	GAD_DISEASE:depression
cacnb2	GO:0005891
nup50	HPO:HPO:XXX~No HPO phenotype
LOC100702684	CTD:C0149519~Chronic Persistent Hepatitis
tacr2	UNIPROT:CXXX~No diseases associated
mapk10	GO:0004674
rbmx2	CTD:CXXX~No diseases associated
olfm1	MGD:MP:0006058~decreased cerebral infarction size
p53	GO:0007265
ntrk2	GO:0051897
hoxa5	MGD:MP:0004321~short sternum
polb	GO:0071897
LOC102082062	GO:0016301
ghr	MGD:MP:XXX~No phenotype
LOC102082062	
LOC100694779	GO:0005829
tirap	GO:0030890
ikbkg	KEGG_PATHWAY:hsa05340
pcnx2	GO:0008150
slc10a7	GO:0005783
LOC100695261	
cep120	GO:0005856
aff3	MGD:MP:0001539~decreased caudal vertebrae number
pacsin2	GO:0005901
LOC100691116	GO:0005886
g2e3	GO:0043231
LOC100693327	DISGENET:C3468561~familial atrial fibrillation
atxn7	GO:0005737
myb	GO:0000278
LOC100706475	CGI:CXXX~No diseases associated
ubxn2a	HPO:HPO:XXX~No HPO phenotype
LOC106098755	GO:0003160
p2ry2	GENOMICS_ENGLAND:CXXX~No diseases associated
LOC102078975	HPO:HP:0000007~Autosomal recessive inheritance
LOC102083004	HPO:HPO:XXX~No HPO phenotype
LOC100702647	GO:0007160
bnip3	GO:0010666
ankrd9	GO:0005829
polr2k	REACTOME_PATHWAY:R-HSA-1640170~Cell Cycle
dcakd	GO:0000166
slc45a2	HPO:HP:0000635~Blue irides
kl	GO:0014823
LOC100709203	DISGENET:C0242379~Malignant neoplasm of lung
ssh1	GO:0004721
ero1a	GO:0005615
nbr1	GO:0016236
LOC100690924	GAD_DISEASE:Brain
magi1	GO:0070161
nr5a2	GAD_DISEASE:pancreatic cancer
bend7	UNIPROT:C0006142~Malignant neoplasm of breast
LOC100690902	REACTOME_PATHWAY:R-HSA-8957275~Post-translational protein phosphorylation
LOC100712084	HPO:HP:0001903~Anemia
mfn2	CTD:C1836485~CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2A2 (disorder)
LOC100692223	GO:0007163
LOC100707779	REACTOME_PATHWAY:R-HSA-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
LOC100691565	GO:0005694
gstz1	REACTOME_PATHWAY:R-HSA-156590~Glutathione conjugation
ikbkb	GO:0004674
pdk1	HPO:HPO:XXX~No HPO phenotype
LOC100693977	MGD:MP:0010956~abnormal mitochondrial ATP synthesis coupled electron transport
polr2c	REACTOME_PATHWAY:R-HSA-212436~Generic Transcription Pathway
LOC100690686	GO:0030175
snrk	GO:0004674
hps1	HPO:HP:0000225~Gingival bleeding
LOC100696542	GO:0042285
dpp3	GO:0008239
LOC100706367	GO:0042592
ipo5	GO:0005515
LOC100701247	GO:0046979
LOC100690952	GO:0045944
ccdc39	GO:0003341
mtmr2	GO:0052629
pdss1	GO:0006744
colec12	CTD:C0038580~Substance Dependence
abcb11	HPO:HP:0001081~Cholelithiasis
grid2	MGD:MP:0001922~reduced male fertility
LOC100709989	MGD:MP:0002696~decreased circulating glucagon level
hmgcl	HPO:HP:0000741~Apathy
map9	GO:0090307
LOC100695123	GO:0050852
mre11	GO:0000781
xrcc3	GO:0090657
il10	GAD_DISEASE:schizophrenia
vsx1	GO:0003677
obsl1	UP_TISSUE:Heart
LOC109202892	KEGG_PATHWAY:hsa04928
LOC100708550	GO:0032237
LOC100698146	DISGENET:C3554499~MICROCEPHALY 10, PRIMARY, AUTOSOMAL RECESSIVE
LOC100704938	CTD:C0007138~Carcinoma, Transitional Cell
cd276	GO:0016020
slc6a3	MGD:MP:0011975~neuronal cytoplasmic inclusions
atf7ip	UP_TISSUE:PNS
fgf10	MGD:MP:0001181~absent lungs
gsn	GO:0014891
c1qbp	GO:0005886
lmod3	MGD:MP:0005150~cachexia
LOC100704590	GO:0034394
tmem138	HPO:HP:0001249~Intellectual disability
LOC100534553	KEGG_PATHWAY:hsa03320
ntrk3	GO:0030335
LOC100704787	HPO:HP:0000070~Ureterocele
ctnnb1	MGD:MP:0012133~absent midbrain-hindbrain boundary
krit1	
ctnnb1	GO:1990907
dnaaf5	UP_TISSUE:Colon carcinoma
LOC100697722	GO:0106310
LOC100700920	GO:0005764
kmt2a	DISGENET:C0026998~Acute Myeloid Leukemia, M1
LOC100697588	GO:0050839
tenm4	MGD:MP:0009677~abnormal spinal cord dorsal column morphology
sprtn	GO:0006508
slc2a5	GO:0022857
LOC100697215	GO:0031625
LOC100709275	GO:0003678
fbln1	HPO:HP:0000750~Delayed speech and language development
spef2	GO:0007288
LOC100700092	HPO:HP:0003042~Elbow dislocation
bcl2l1	GO:2001240
LOC100696392	CTD:C0919267~ovarian neoplasm
LOC100534562	ORPHANET:C0271789~Hypothyroidism, Congenital, Nongoitrous, 4
ddb2	GO:0080008
mon2	
mettl6	GO:0008757
arhgef9	GO:0005737
pparg	MGD:MP:0000013~abnormal adipose tissue distribution
rtn4ip1	UNIPROT:C4225227~OPTIC ATROPHY 10 WITH OR WITHOUT ATAXIA, MENTAL RETARDATION, AND SEIZURES
edar	GO:0004888
LOC100697765	GO:0004679
hao1	MGD:MP:XXX~No phenotype
ptger3	GO:0016020
stoml1	
dcakd	GO:0004140
LOC106098755	GO:0005730
adam9	GO:0046872
siva1	CRB:CRB:XXX~No CRB phenotype
srp19	GO:0005737
LOC100702310	GO:0005576
sdf2l1	CLINGEN:CXXX~No diseases associated
LOC112848065	GO:0010628
fgfr3	MGD:MP:0009546~absent gastric milk in neonates
foxred1	HPO:HP:0008972~Decreased activity of mitochondrial respiratory chain
vcp	HPO:HP:0001284~Areflexia
LOC100705244	GO:0043231
LOC100693200	GO:0070161
LOC100706673	GO:0002102
hnrnpa3	GO:0005634
ecsit	GO:0045087
cdkal1	GO:0003824
hprt1	MGD:MP:0002135~abnormal kidney morphology
fgf14	MGD:MP:0002066~abnormal motor capabilities/coordination/movement
LOC100695849	MGD:MP:0000694~spleen hypoplasia
pik3cd	REACTOME_PATHWAY:R-HSA-2219530~Constitutive Signaling by Aberrant PI3K in Cancer
itk	MGD:MP:0008049~increased memory T cell number
LOC102082062	GO:0005833
prmt2	GO:0016740
LOC100703727	GO:0042093
cftr	GO:0016324
LOC100698479	MGD:MP:0001283~sparse vibrissae
LOC106098755	GO:0005634
cnpy2	ORPHANET:CXXX~No diseases associated
canx	GO:0005783
shroom4	HPO:HP:0002827~Hip dislocation
vps28	GO:0000813
lmbrd1	GO:0005886
gatm	GO:0016740
pygl	GO:0005975
meak7	GO:0016020
tpt1	PSYGENET:C0036341~Schizophrenia
tsnare1	HPO:HPO:XXX~No HPO phenotype
bag6	GO:0030433
drd5	DISGENET:C0036337~Schizoaffective Disorder
gins1	CRB:CRB:0000031~Association with Reactive Oxygen Species (CellRox Intensity) in Glutamatergic Neuron
apbb3	GO:0005737
ghitm	GO:0003674
LOC102082062	
ddah2	GO:0016403
gpank1	GO:0003676
LOC100699693	GO:0045174
fhl2	GO:0046872
vstm2a	GO:0010884
rasgrf2	GAD_DISEASE:Magnesium
anxa2	GO:0044548
LOC100534577	GO:0060076
LOC100691791	GO:0016020
smarca4	GO:0140288
atat1	GO:0019799
kdm1a	GO:0034720
hbs1l	GO:0016020
nostrin	CTD:CXXX~No diseases associated
LOC100689743	DISGENET:C0019193~Hepatitis, Toxic
LOC100693529	GO:0016607
ndfip2	GO:0005783
ipo5	MGD:MP:XXX~No phenotype
sae1	CRB:CRB:0000006~Negative hit with Labile Iron (FeRhoNox Intensity) in Glutamatergic Neuron
rps21	GO:0002181
LOC102082062	
hnrnpd	GO:0032204
LOC100696671	KEGG_PATHWAY:hsa04725
LOC100700524	GO:0001756
LOC100694258	GO:0004128
dusp16	GO:0008138
LOC100695684	MGD:MP:0001092~abnormal trigeminal ganglion morphology
golph3	CTD:CXXX~No diseases associated
chmp3	GO:0005643
nup93	
LOC100702287	GO:0005515
LOC100707393	HPO:HPO:XXX~No HPO phenotype
LOC102077535	GO:0005576
LOC100708185	UP_TISSUE:Brain
slc9a6	REACTOME_PATHWAY:R-HSA-382551~Transport of small molecules
mgat4b	
LOC100692170	HPO:HP:0002002~Deep philtrum
bhlha9	GO:0006357
mfsd8	
LOC100695813	GO:0000122
srm	CTD:C0152013~Adenocarcinoma of lung (disorder)
iapp	GO:0007267
igfbp5	CTD:C0005695~Bladder Neoplasm
cenpt	GO:0051301
fosl1	KEGG_PATHWAY:hsa05166
cd36	GO:0071404
dnajc6	GAD_DISEASE:Blood Coagulation Factor Inhibitors
sema4d	GO:0043931
morc2	
LOC100693933	MGD:MP:0004200~decreased fetal size
LOC100698909	REACTOME_PATHWAY:R-HSA-5653656~Vesicle-mediated transport
xxylt1	GO:0046872
LOC100707781	GO:0043123
naprt	GO:0004516
LOC100691607	GO:0017148
prkaa1	GO:0071277
LOC100705387	HPO:HP:0000006~Autosomal dominant inheritance
LOC100712231	DISGENET:C1383860~Cardiac Hypertrophy
LOC102082062	
corin	GO:0035813
ubap1	CRB:CRB:0000046~Association with Survival CRISPRi in Glutamatergic Neuron
prox1	GO:0031016
LOC100710068	GO:0005634
mtrr	DISGENET:C0009402~Colorectal Carcinoma
gpatch2	GO:0016607
dnajc13	HPO:HP:0005340~Spastic/hyperactive bladder
tirap	GO:0034145
LOC100709693	DISGENET:C0039584~Testicular Diseases
polr2b	REACTOME_PATHWAY:R-HSA-72203~Processing of Capped Intron-Containing Pre-mRNA
bag6	GO:0071818
maf1	CTD:CXXX~No diseases associated
cant1	
